neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
1220	-1.233931611	9.279633988	1.068163454	0.314939909	0.995803853	1220	0.99284724	Mixed	0.622254758
100	1.941089301	9.287683009	1.064504435	0.316082336	0.995803853	100	0.99284724	CD8 Naive	0.96031746
1377	-1.141312937	8.765954135	1.062224036	0.316251515	0.995803853	1377	0.99284724	CD4 Activated	0.936708861
1215	1.211802389	7.898510959	1.060078619	0.316757872	0.995803853	1215	0.99284724	CD8 Activated	0.898395722
548	1.419663588	9.43815462	1.060516908	0.316964596	0.995803853	548	0.99284724	CD8 Naive	0.850637523
7	-1.438194124	10.14509183	1.058370481	0.317106544	0.995803853	7	0.99284724	CD4 Naive	0.759048604
1382	-1.347943107	9.363479675	1.056267163	0.317574581	0.995803853	1382	0.99284724	CD4 Naive	0.849604222
986	-1.460511576	9.54458114	1.05709407	0.317717646	0.995803853	986	0.99284724	Mixed	0.663294798
307	-1.324320464	10.11186035	1.054304777	0.31801212	0.995803853	307	0.99284724	CD4 Naive	0.856343284
1655	-1.176855851	8.220838127	1.051674748	0.318599831	0.995803853	1655	0.99284724	cDC	0.963576159
1233	1.096471939	8.854635152	1.050034692	0.318987758	0.995803853	1233	0.99284724	CD14 Monocytes	0.72985782
2117	-1.1883939	8.330815391	1.048045066	0.319456329	0.995803853	2117	0.99284724	CD16 NK	1
1203	1.057794929	8.644574629	1.047780691	0.31954287	0.995803853	1203	0.99284724	CD16 NK	0.925257732
1552	-1.394112091	8.978852992	1.048110057	0.31973163	0.995803853	1552	0.99284724	CD16 NK	0.982532751
1473	-1.455540094	9.069041345	1.046666287	0.320055803	0.995803853	1473	0.99284724	Mixed	0.477272727
95	1.851725387	9.116370416	1.045855929	0.320237955	0.995803853	95	0.99284724	CD8 Naive	0.995555556
1246	-1.077086531	8.503447605	1.04137506	0.320915983	0.995803853	1246	0.99284724	CD4 Activated	0.877431907
1656	1.277051423	8.620816043	1.042156504	0.321071347	0.995803853	1656	0.99284724	CD8 Activated	0.888020833
1021	1.68314664	9.612385257	1.038205579	0.321964734	0.995803853	1021	0.99284724	CD8 Naive	0.9318542
1951	-1.073727101	8.37611758	1.031429145	0.323174854	0.995803853	1951	0.99284724	CD16 Monocytes	0.990291262
1091	-1.506119683	9.77524754	1.031190583	0.323559529	0.995803853	1091	0.99284724	CD4 Naive	0.716138329
147	1.136294965	9.104100728	1.026488601	0.324305167	0.995803853	147	0.99284724	Mixed	0.507638073
1426	1.40310371	8.163105581	1.027065417	0.324502499	0.995803853	1426	0.99284724	CD14 Monocytes	1
1682	1.31632237	8.743697745	1.026871278	0.324546972	0.995803853	1682	0.99284724	CD4 Naive	0.945804196
159	-1.38295799	9.764139013	1.024902523	0.324671511	0.995803853	159	0.99284724	CD4 Naive	0.857988166
1272	1.103617545	8.041236844	1.024488646	0.32476429	0.995803853	1272	0.99284724	CD16 NK	0.848341232
1264	1.100487772	8.468352057	1.02451763	0.325086815	0.995803853	1264	0.99284724	Mixed	0.599378882
163	0.957811695	8.784305214	1.021199342	0.32552138	0.995803853	163	0.99284724	CD14 Monocytes	0.99015748
