neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
1053	-0.34266663	8.79147231	0.06149663	0.808435126	0.987779573	1053	0.984567966	CD4 Naive	0.947761194
143	-0.336969582	9.981547935	0.061019739	0.809163075	0.987779573	143	0.984567966	CD14 Monocytes	0.985804416
498	0.286361527	9.215127105	0.060742518	0.809456735	0.987779573	498	0.984567966	Memory B Cells	0.771498771
294	0.352313391	8.826053363	0.060273823	0.810307782	0.987779573	294	0.984567966	Activated B Cells	0.91884058
326	0.254711938	10.51051991	0.059602659	0.811236686	0.987779573	326	0.984567966	CD8 Activated	0.967177243
747	0.311102123	9.133761633	0.059125482	0.811977811	0.987779573	747	0.984567966	CD14 Monocytes	0.972431078
104	0.275917745	10.85321325	0.057522374	0.814491241	0.987779573	104	0.984567966	Mixed	0.63458529
1203	0.315343952	9.303026495	0.056897558	0.815480922	0.987779573	1203	0.984567966	Mixed	0.599537037
200	-0.251270628	9.5648161	0.05667774	0.815809002	0.987779573	200	0.984567966	Mixed	0.580448065
290	0.31429115	10.50301554	0.056677302	0.81593592	0.987779573	290	0.984567966	CD8 Activated	0.958573072
629	-0.327779736	9.817808802	0.055582545	0.81768654	0.987779573	629	0.984567966	CD8 Activated	0.97080292
752	-0.268991274	9.785244441	0.055285874	0.8180395	0.987779573	752	0.984567966	Mixed	0.490530303
527	-0.36271728	9.665945142	0.054925829	0.818745473	0.987779573	527	0.984567966	CD8 Activated	0.954648526
153	0.300709478	9.347628274	0.054372248	0.819540828	0.987779573	153	0.984567966	CD14 Monocytes	0.948608137
1054	-0.280375612	9.690003531	0.053858535	0.820378866	0.987779573	1054	0.984567966	CD8 Activated	0.93592233
397	0.272372044	9.356790674	0.053805658	0.820444472	0.987779573	397	0.984567966	Mixed	0.574514039
399	-0.251084762	10.85346593	0.053502438	0.820962263	0.987779573	399	0.984567966	Mixed	0.607321131
321	-0.264125367	9.47520088	0.05345582	0.821017967	0.987779573	321	0.984567966	CD4 Activated	0.968609865
235	0.241605018	9.645671386	0.052847232	0.822020384	0.987779573	235	0.984567966	CD16 NK	0.84095064
689	-0.250315158	9.654066982	0.052367635	0.822814645	0.987779573	689	0.984567966	CD4 Activated	0.73964497
384	-0.229166699	9.921225149	0.052129071	0.823211161	0.987779573	384	0.984567966	CD16 NK	0.964615385
833	0.274136853	9.200598009	0.051962662	0.823508834	0.987779573	833	0.984567966	CD16 NK	1
898	-0.278427656	9.331276761	0.051866498	0.82366919	0.987779573	898	0.984567966	Mixed	0.469656992
1078	-0.237666213	9.807028969	0.051474355	0.824304313	0.987779573	1078	0.984567966	CD16 NK	0.988391376
210	-0.275844697	10.42071068	0.051482855	0.824410101	0.987779573	210	0.984567966	Mixed	0.693854749
743	-0.216152524	8.978593611	0.051307806	0.824583562	0.987779573	743	0.984567966	Treg	0.722929936
57	0.235566448	9.63466909	0.050657605	0.825678343	0.987779573	57	0.984567966	Mixed	0.536398467
712	-0.393079712	9.377699659	0.050224983	0.826529372	0.987779573	712	0.984567966	CD8 Activated	0.946210269
361	-0.231970153	10.8225969	0.049715193	0.827298423	0.987779573	361	0.984567966	CD4 Activated	0.783362218
612	-0.278291952	9.720838165	0.049100799	0.828350032	0.987779573	612	0.984567966	Mixed	0.525454545
462	0.263582113	9.267471231	0.049083165	0.828360401	0.987779573	462	0.984567966	CD16 Monocytes	1
39	-0.253014556	9.327232388	0.048050986	0.830143376	0.987779573	39	0.984567966	CD4 Naive	0.982543641
253	0.356242683	9.823426154	0.047948288	0.830437526	0.987779573	253	0.984567966	CD14 Monocytes	0.975884244
713	-0.259687507	9.441896494	0.047583943	0.830956758	0.987779573	713	0.984567966	Mixed	0.625541126
23	0.26890847	10.14083132	0.047135259	0.831856759	0.987779573	23	0.984567966	CD8 Activated	0.9238653
937	-0.219383615	10.2937867	0.046575857	0.832746201	0.987779573	937	0.984567966	Mixed	0.489171975
897	0.293300524	9.201572137	0.046416195	0.833113121	0.987779573	897	0.984567966	Mixed	0.634085213
874	-0.332651659	9.792671528	0.044639413	0.836295728	0.987779573	874	0.984567966	CD14 Monocytes	0.998204668
859	-0.310008836	9.726250784	0.044416295	0.836698824	0.987779573	859	0.984567966	CD8 Activated	0.850102669
696	0.198247438	8.800999315	0.044323848	0.836755132	0.987779573	696	0.984567966	CD4 Naive	0.96819788
601	0.220674531	9.140821513	0.044302288	0.836794211	0.987779573	601	0.984567966	CD4 Activated	0.973262032
448	-0.234614253	9.477689188	0.043828431	0.837655619	0.987779573	448	0.984567966	CD4 Activated	0.982417582
465	0.361052164	9.685518982	0.043140948	0.839023558	0.987779573	465	0.984567966	CD14 Monocytes	1
1018	-0.225911404	9.555621108	0.041476835	0.842004446	0.987779573	1018	0.984567966	CD16 NK	0.997942387
1184	-0.19060511	9.979919471	0.039465793	0.845826816	0.987779573	1184	0.984567966	CD4 Activated	0.898753894
204	0.253125201	9.365307382	0.038924193	0.846891156	0.987779573	204	0.984567966	CD4 Activated	0.986425339
597	-0.191561212	9.083712596	0.038834445	0.847047678	0.987779573	597	0.984567966	cDC	0.958944282
87	-0.301565671	9.589476223	0.038282581	0.848226234	0.987779573	87	0.984567966	Activated B Cells	0.92120075
402	-0.206591254	9.658990237	0.038086536	0.848507394	0.987779573	402	0.984567966	Mixed	0.423728814
775	0.207369978	9.983997623	0.036959938	0.850734666	0.987779573	775	0.984567966	Mixed	0.662393162
757	-0.209805081	10.56312074	0.036759897	0.85115096	0.987779573	757	0.984567966	CD4 Naive	0.776767677
479	-0.312140962	9.584167582	0.036770197	0.851214016	0.987779573	479	0.984567966	CD14 Monocytes	1
392	0.216813895	8.950561092	0.036263789	0.85214565	0.987779573	392	0.984567966	Mixed	0.444444444
656	-0.174288265	10.20910333	0.034348871	0.856036373	0.987779573	656	0.984567966	CD16 NK	0.99017199
574	0.307966606	9.527414689	0.033694564	0.85749375	0.987779573	574	0.984567966	CD14 Monocytes	1
98	-0.181433914	10.36738907	0.033215317	0.858419287	0.987779573	98	0.984567966	CD4 Activated	0.828742515
706	0.217824021	9.160119016	0.031594064	0.861877654	0.987779573	706	0.984567966	CD8 Activated	0.948648649
766	-0.212070673	9.629082328	0.031554777	0.861957264	0.987779573	766	0.984567966	CD16 NK	0.714867617
610	0.202506259	9.750539228	0.030188039	0.864936494	0.987779573	610	0.984567966	Mixed	0.579564489
546	0.200802678	9.39966375	0.030122879	0.86508076	0.987779573	546	0.984567966	Mixed	0.559734513
393	-0.202113133	9.19787426	0.030020654	0.865322859	0.987779573	393	0.984567966	CD14 Monocytes	0.955844156
26	-0.240189847	9.522278778	0.029958006	0.865537202	0.987779573	26	0.984567966	CD14 Monocytes	0.975257732
496	0.172270765	10.34057195	0.029606793	0.866229135	0.987779573	496	0.984567966	CD8 Activated	0.911835749
1207	-0.1987148	9.306455993	0.0289789	0.867640314	0.987779573	1207	0.984567966	Mixed	0.494736842
373	-0.231283088	10.09121251	0.027763766	0.870504021	0.987779573	373	0.984567966	Activated B Cells	0.88304862
915	-0.22761717	9.150618228	0.027578899	0.870931578	0.987779573	915	0.984567966	CD16 NK	0.750759878
1169	-0.193445676	9.203272217	0.027314473	0.871473937	0.987779573	1169	0.984567966	Intermediate Monocytes	0.826203209
869	-0.200844981	10.02075694	0.027136678	0.871888829	0.987779573	869	0.984567966	Mixed	0.587537092
1008	-0.273881776	9.214130078	0.02708256	0.872086857	0.987779573	1008	0.984567966	Activated B Cells	0.972906404
103	0.294351005	9.878119513	0.027010724	0.872254962	0.987779573	103	0.984567966	CD14 Monocytes	0.992113565
362	0.175202024	9.753586584	0.026876762	0.872483292	0.987779573	362	0.984567966	Mixed	0.538596491
844	0.178158984	10.01749939	0.026632787	0.873062655	0.987779573	844	0.984567966	CD4 Activated	0.872648336
657	-0.227003386	9.773372729	0.025555674	0.875710823	0.987779573	657	0.984567966	CD4 Naive	0.790740741
483	0.170331449	9.911379647	0.025490444	0.87578461	0.987779573	483	0.984567966	CD4 Naive	0.79109063
1165	-0.169795681	8.851497136	0.025304733	0.876247943	0.987779573	1165	0.984567966	Intermediate Monocytes	0.837931034
515	-0.164082409	9.063398899	0.025188151	0.876516645	0.987779573	515	0.984567966	CD56 NK	0.859459459
474	0.183102293	9.793605573	0.025123829	0.876672989	0.987779573	474	0.984567966	CD4 Activated	0.841402337
70	0.197264357	9.414143628	0.024887544	0.877263111	0.987779573	70	0.984567966	CD4 Naive	0.789808917
724	0.23219235	9.498096173	0.024154366	0.879135985	0.987779573	724	0.984567966	CD16 NK	0.971365639
28	-0.21577104	9.276154526	0.024111784	0.879241643	0.987779573	28	0.984567966	CD14 Monocytes	0.982587065
66	0.179500616	10.05357183	0.023993166	0.879469307	0.987779573	66	0.984567966	CD8 Activated	0.7808418
1168	-0.142775799	10.01913906	0.023911377	0.879659406	0.987779573	1168	0.984567966	CD4 Activated	0.858208955
925	-0.138436408	10.13710462	0.023685525	0.880224228	0.987779573	925	0.984567966	CD4 Activated	0.931129477
768	0.194319697	9.114131291	0.023551502	0.880574342	0.987779573	768	0.984567966	Intermediate Monocytes	0.810958904
91	0.165675696	9.442601519	0.023165442	0.88153547	0.987779573	91	0.984567966	Mixed	0.479338843
303	0.231752698	9.285208164	0.022645291	0.88294064	0.987779573	303	0.984567966	Activated B Cells	0.96359743
377	-0.140934281	8.821132912	0.022384581	0.883532851	0.987779573	377	0.984567966	Mixed	0.396666667
180	-0.179050376	9.106748801	0.02197307	0.884612994	0.987779573	180	0.984567966	Mixed	0.468144044
751	0.133813478	8.884516891	0.021448934	0.885973752	0.987779573	751	0.984567966	cDC	0.944983819
