""	baseMean	log2FoldChange	lfcSE	pvalue	padj
HPCAL1	0.597841409724957	0.000108186835807786	0.0530228274596406	0.963740483139863	0.999336306249414
ODC1	2.19970634954621	-0.00415726825747355	0.0531704031278055	0.32572289820537	0.999336306249414
PDIA6	1.7824022021445	-0.0063805163849436	0.0535283332918057	0.0946417816912904	0.999336306249414
TRIB2	0.881890481096433	0.00423988714722107	0.053274112798856	0.105497281481919	0.999336306249414
SMC6	1.27112720032427	-0.0081351036278971	0.0539132743489025	0.0225418554759992	0.999336306249414
LAPTM4A	2.04917109859218	-0.00157240236534515	0.0529646046629195	0.702848111536916	0.999336306249414
PUM2	0.999284575484303	-0.000271705817999557	0.0530286518420955	0.91131285041055	0.999336306249414
RHOB	2.92463265886549	0.00356376651662168	0.0531872914826942	0.245620290115627	0.999336306249414
ATAD2B	0.737690932535142	-0.00447310256302901	0.0532935832084944	0.132218791939299	0.999336306249414
SF3B6	1.9080361315858	-0.00536802606920798	0.0533386477385923	0.190802104582508	0.999336306249414
ITSN2	2.58817069611322	0.00612662256654392	0.053370469331571	0.236927925343031	0.999336306249414
PTRHD1	0.948387568230035	0.00341948431886818	0.0531950577403665	0.182531031283217	0.999336306249414
RAB10	1.79061517187893	0.000540877981725494	0.0530103930598816	0.856359065426307	0.999336306249414
HADHA	1.87854120366854	0.0020058644795959	0.0529924026130245	0.624351410868636	0.999336306249414
HADHB	1.02250206992091	-0.00347849176246247	0.0531745369990273	0.257321081437772	0.999336306249414
OST4	4.8936816384458	0.00011789041358602	0.0527122342982724	0.98638816893672	0.999336306249414
ATRAID	1.33830142601332	-0.00446917143566273	0.0532657430577553	0.187675092454046	0.999336306249414
SNX17	1.86690192350981	0.000655844671539194	0.0529312894835644	0.884075148108349	0.999336306249414
PPM1G	1.19669193115427	0.00109872399987449	0.0529872737786308	0.767760223309873	0.999336306249414
NRBP1	0.637139705954507	-0.000264254347079888	0.0530291571854133	0.914801447368681	0.999336306249414
MRPL33	1.15439928883635	0.000927967031486812	0.053023887250608	0.752322634828645	0.999336306249414
