"gene"	"log2FC"	"pval"	"adjp"
"ERMP1"	"-0.957076188163316"	"1.92857855509235e-12"	2.95007643197918e-11
"PIGM"	"-0.550124894323705"	"1.98554154000597e-12"	3.0279508485091e-11
"KIF3A"	"-0.354306586955926"	"2.00488368603316e-12"	3.04815446733674e-11
"SAMSN1"	"-1.00389027011131"	"2.0342430761732e-12"	3.08341935364192e-11
"CHI3L2"	"0.982872401552394"	"2.04412407561687e-12"	3.08903583874187e-11
"PTEN"	"-0.248822149389128"	"2.15596089535584e-12"	3.23847339296394e-11
"EFR3A"	"0.228795389905409"	"2.15596089535584e-12"	3.23847339296394e-11
"CALM1"	"0.0727797991119867"	"2.35204195814043e-12"	3.52242930377797e-11
"SQOR"	"-0.395926918407013"	"2.36343382617752e-12"	3.52892417866864e-11
"GALNT6"	"0.411594125603436"	"2.42120987211957e-12"	3.60443207748276e-11
"GOLGB1"	"-0.3477044674716"	"2.56558343653415e-12"	3.79675986672894e-11
"AGTRAP"	"0.250843443255148"	"2.82518352043427e-12"	4.16860412071157e-11
"FHL3"	"0.52656031265819"	"2.85251825102199e-12"	4.19655773282706e-11
"FKBP11"	"0.233051711974579"	"2.97876845134809e-12"	4.35666660632841e-11
"ANAPC2"	"0.268073406385111"	"2.97876845134809e-12"	4.35666660632841e-11
"OXNAD1"	"-0.428905930370547"	"3.20146590638282e-12"	4.66872666580958e-11
"ZMYM4"	"-0.37954880842128"	"3.37507374723757e-12"	4.90759269874486e-11
"MPP1"	"-0.632883371244426"	"3.40761580310014e-12"	4.94054905713244e-11
"MMP25-AS1"	"0.295374962469805"	"3.49032291037808e-12"	5.04583676234426e-11
"HECA"	"-0.239043245938644"	"3.50709896071211e-12"	5.05547809840979e-11
"MTRF1L"	"-0.401319936738897"	"3.59217233028912e-12"	5.16323160807649e-11
"AC020659.1"	"-0.876540283359024"	"3.6969340963509e-12"	5.28344695712777e-11
"TFB1M"	"-0.332182912621749"	"3.6969340963509e-12"	5.28344695712777e-11
"TBXAS1"	"-1.27157261548535"	"3.73293305601907e-12"	5.31969548324997e-11
"TP53TG1"	"-0.351785576831178"	"3.76843340229499e-12"	5.35502951087487e-11
"AC073111.5"	"0.308318965821711"	"3.9531660284826e-12"	5.60162506358923e-11
"EOMES"	"0.406139123730973"	"4.04883294428079e-12"	5.72097807550636e-11
"SLC38A9"	"-0.304885517932945"	"4.30831616985832e-12"	6.07047816383981e-11
"KIF21A"	"0.251469280833472"	"4.39138769578467e-12"	6.17014641975138e-11
"MAP3K4"	"-0.388793123473306"	"4.47602887384796e-12"	6.27145558178921e-11
"EID3"	"0.607153501733944"	"4.92381410542913e-12"	6.87958607691523e-11
"KLF10"	"0.532826898255966"	"5.2630979520435e-12"	7.29252519560155e-11
"HECTD4"	"-0.447358735008432"	"5.2630979520435e-12"	7.29252519560155e-11
"SYCE1L"	"-0.576345083983857"	"5.95505227662115e-12"	8.20583236574628e-11
"ALOX5AP"	"0.361528596840744"	"6.04041555902644e-12"	8.30059302918963e-11
"SPSB2"	"0.368169962207025"	"6.1853601214548e-12"	8.47648529521011e-11
"NCF4"	"-1.29791911994227"	"6.42147218979018e-12"	8.77601199271325e-11
"MAP3K1"	"-0.395810110133066"	"6.64095153563541e-12"	9.05123694311943e-11
"MARCKSL1"	"0.326599082293638"	"6.89721729710527e-12"	9.37496764133711e-11
"SLC35A3"	"-0.518286517745143"	"7.19710878261289e-12"	9.75608079420858e-11
"MIB2"	"0.22804866178708"	"7.76211134598843e-12"	1.04935353926038e-10
"ZNF600"	"-0.389143872061516"	"8.21416692250189e-12"	1.10747339478044e-10
"AC025164.1"	"-0.54040159313781"	"8.29197674568228e-12"	1.1149588086533e-10
"CLU"	"-1.01488321252624"	"8.50957928582179e-12"	1.14115055194854e-10
"IL32"	"-0.0606383936597066"	"8.61050249868551e-12"	1.1515971523643e-10
"PER1"	"-0.524721687840349"	"8.73301476267293e-12"	1.16486772914373e-10
"TEDC1"	"0.374668611398414"	"9.19701229124648e-12"	1.22349615640465e-10
"ANPEP"	"-2.26406501892079"	"9.32250898880701e-12"	1.23690159050431e-10
"STOM"	"0.245102822780585"	"9.6397337159449e-12"	1.27224137327589e-10
"CHD9"	"-0.307192599193477"	"9.6397337159449e-12"	1.27224137327589e-10
"CCDC50"	"-1.1711872411152"	"9.75195953996056e-12"	1.28366583207586e-10
"C16orf74"	"-1.9547195737022"	"9.91912176666202e-12"	1.30224270542896e-10
"THAP12"	"0.206364604136531"	"1.00559902544726e-11"	1.31675558253591e-10
"IGFBP3"	"0.501801642659947"	"1.06884994668981e-11"	1.39592361183875e-10
"NAMPT"	"-0.438139355349929"	"1.0789206309392e-11"	1.40540650936403e-10
"SLC4A4"	"0.765134487529428"	"1.10450576543147e-11"	1.43499684121772e-10
"TAF1C"	"0.321110098661227"	"1.11490540539027e-11"	1.44475565745133e-10
"DIP2A"	"0.387460884180336"	"1.20162865256153e-11"	1.54910992786412e-10
"CHSY1"	"-0.389127774631267"	"1.20162865256153e-11"	1.54910992786412e-10
"KCTD17"	"0.38162659033716"	"1.24161649958403e-11"	1.59654646039057e-10
"CTSB"	"-0.51442627475487"	"1.33174416751001e-11"	1.70804726304745e-10
"SLC9A3R1"	"0.187073826573376"	"1.36318726195045e-11"	1.73945476639698e-10
"RBM14"	"-0.481920599483431"	"1.36318726195045e-11"	1.73945476639698e-10
"ARL4A"	"-0.460488910553572"	"1.46877045819454e-11"	1.86941217096414e-10
"MATK"	"0.170839178762969"	"1.5531738011327e-11"	1.97182115565121e-10
"RGCC"	"-0.888869212505302"	"1.56769541303007e-11"	1.98521834328517e-10
"FAM49B"	"0.210981132574072"	"1.65765877492332e-11"	2.09384070509254e-10
"AL035701.1"	"0.523802548193946"	"1.67313630155294e-11"	2.10806745097426e-10
"ENTPD1"	"-1.9754483779986"	"1.74672077008765e-11"	2.19525057587398e-10
"GEMIN7"	"0.267845939878935"	"1.84443899217738e-11"	2.31225158868954e-10
"LITAF"	"0.187003049410816"	"1.9409058940565e-11"	2.42105019503008e-10
"TNFRSF25"	"-1.04065458650659"	"1.95896769142797e-11"	2.43750159017978e-10
"CD27"	"-1.93987746393568"	"1.98637048959307e-11"	2.46546530743041e-10
"CEBPD"	"-0.807952088762631"	"2.02349283865868e-11"	2.49913856270882e-10
