"gene"	"log2FC"	"pval"	"adjp"
"CDKN2AIP"	"-0.0943312605616468"	"2.24650070865233e-05"	3.76070834828613e-05
"PALLD"	"0.372692006513855"	"2.32271851463702e-05"	3.88699833061705e-05
"MIDN"	"-0.107196895204077"	"2.33055570792607e-05"	3.89620309192721e-05
"AK9"	"-0.157803732686943"	"2.33055570792607e-05"	3.89620309192721e-05
"TRMT61B"	"-0.0966725068834402"	"2.33055570792607e-05"	3.89620309192721e-05
"PRRC2B"	"-0.106682307303756"	"2.34084111129914e-05"	3.91209062436295e-05
"APLP2"	"-0.147294031717822"	"2.3894134222756e-05"	3.99193251109638e-05
"ARHGAP24"	"-1.12904364046729"	"2.40021773900308e-05"	4.00864411702618e-05
"MON2"	"-0.0760454688823782"	"2.41759800998564e-05"	4.03632351333384e-05
"ANKRD27"	"-0.113550381894128"	"2.43180864006403e-05"	4.05869430016693e-05
"TRIM65"	"-0.141979269988251"	"2.46407367147046e-05"	4.11117295019855e-05
"C1orf35"	"0.0962243571230091"	"2.51139849113441e-05"	4.18873466243892e-05
"CPLANE1"	"-0.197348249281925"	"2.52982954030105e-05"	4.21806912019528e-05
"RETN"	"-2.65351984426511"	"2.53985355002225e-05"	4.23337136194978e-05
"RNF130"	"0.125172608251374"	"2.55958709605288e-05"	4.26342146335548e-05
"FUBP3"	"-0.110229488710807"	"2.55958709605288e-05"	4.26342146335548e-05
"GOLGA3"	"-0.132397460892791"	"2.72532307113671e-05"	4.53797137211246e-05
"MKNK1"	"0.0940900119072504"	"2.74124870596112e-05"	4.56297039175292e-05
"SERTAD1"	"0.046089220950696"	"2.74924466750193e-05"	4.57171603286059e-05
"SPATA33"	"0.117531610975768"	"2.74924466750193e-05"	4.57171603286059e-05
"ADIPOR2"	"-0.137440861517322"	"2.74924466750193e-05"	4.57171603286059e-05
"SIRPB1"	"-0.74083707390571"	"2.75080566387785e-05"	4.57279160209937e-05
"GATAD2B"	"-0.0971760646075119"	"2.79362035910749e-05"	4.64242160672946e-05
"NFIA"	"0.12387373178837"	"2.81196941638146e-05"	4.67136201286618e-05
"CRTAP"	"0.101630414358954"	"2.85108392062514e-05"	4.73476818425198e-05
"METTL7A"	"-0.437700972117096"	"2.88801522464887e-05"	4.79450785054552e-05
"UHRF1BP1L"	"-0.117738639667775"	"2.91389822821347e-05"	4.83587224204505e-05
"AL139246.5"	"-0.130869286263327"	"2.91813228625768e-05"	4.84129276811307e-05
"LINC01588"	"-0.245551618378721"	"2.9308695764451e-05"	4.86081220867984e-05
"CHIC1"	"-0.169060227233674"	"2.96079574385484e-05"	4.90881680834004e-05
"EXOG"	"-0.128135694195058"	"2.97370995277157e-05"	4.92859416294347e-05
