"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Nhood"	"SpatialFDR"	"finalIdent"	"finalIdent_fraction"
"2206"	2.57949968556367	7.56990053871102	14.4389306558502	0.000657838806341728	0.0370873408677352	2206	0.0395236428863544	"CD8 Activated"	0.996545768566494
"3385"	-2.68741185634147	7.3360537371279	14.4067507851286	0.000665457822136493	0.0371379239121629	3385	0.0396738543209121	"CD16 NK"	0.925
"1984"	3.45978209226459	7.69636680372922	14.1055650424727	0.000758400891475246	0.0419016492540073	1984	0.0447666010503911	"CD8 Activated"	0.997032640949555
"4290"	3.42015429193781	7.43570430674318	14.0018439809842	0.000787175008538471	0.0430608111106441	4290	0.0460078969913808	"CD8 Activated"	0.992141453831041
"1257"	2.99407163270726	6.76968549774622	13.9551880142407	0.00080049870530405	0.0433603465373027	1257	0.046381869857576	"CD8 Activated"	0.981132075471698
"2560"	3.08849758665182	7.45819496067094	13.8199894507838	0.00084049479916806	0.0450847938388692	2560	0.0482466957038094	"CD16 NK"	0.998050682261209
"3836"	-3.8196127298811	7.39290456717882	13.746363492937	0.00086317431849834	0.0454951245294802	3836	0.048751524101667	"CD16 NK"	0.986086956521739
"1128"	3.11515680162824	7.72625474793357	13.7173075511825	0.000872304821426351	0.0454951245294802	1128	0.048751524101667	"CD8 Activated"	0.992354740061162
"5091"	3.54985221695671	7.34643792693631	13.7155904533855	0.000872847638031656	0.0454951245294802	5091	0.048751524101667	"CD8 Activated"	1
"2629"	3.6607162296565	6.95434707951261	13.6780481035528	0.000884806871857451	0.04568745763563	2629	0.0490266734898397	"CD8 Activated"	0.971830985915493
"5141"	2.6318155455554	7.17246235632205	13.5484689987933	0.000912542003775999	0.0466832830635407	5141	0.0498726891496176	"Mixed"	0.679569892473118
"563"	2.67535083140966	8.00624214972411	13.4708433597771	0.000938844115272988	0.0475881994209473	563	0.0506548264895092	"CD8 Activated"	0.995061728395062
"1393"	2.9431448062755	7.7958627185151	13.3981898997334	0.000979704123280647	0.0483386568397404	1393	0.0506548264895092	"CD16 NK"	0.998449612403101
"1311"	2.57878913044643	8.31701406195996	13.3428369142336	0.000983729501351894	0.0483386568397404	1311	0.0506548264895092	"CD4 Naive"	0.914893617021277
"5271"	3.25970304487102	7.38561904871062	13.3735536330213	0.000988567187119265	0.0483386568397404	5271	0.0506548264895092	"CD8 Activated"	0.997830802603037
"3307"	2.6202652946242	7.74391248740691	13.268053559463	0.00100970783891783	0.0483386568397404	3307	0.0506548264895092	"CD8 Activated"	0.904907975460123
"5013"	2.68403805403097	7.30918573172222	13.247090600903	0.00101921965374582	0.0483386568397404	5013	0.0506548264895092	"CD4 Naive"	0.842829076620825
"3848"	3.35409807305131	7.42659017896591	13.2807662697994	0.0010227296213728	0.0483386568397404	3848	0.0506548264895092	"CD8 Activated"	0.977186311787072
"5332"	-3.73081078388039	7.81588695089005	13.2556780210092	0.00103218303491672	0.0483386568397404	5332	0.0506548264895092	"CD4 Naive"	0.760775862068966
